editorId,journalId
editor_00001,f8a066b2-d145-46f3-ae0b-fcce7fb42283
editor_00001,59cbb401-2285-4974-bbc3-c7a143cb3407
editor_00002,8b3cb3cf-2019-4a01-b8fc-1350f8f8536c
editor_00003,545e3ae4-beaa-4eab-a5e6-7b0bf9704a79
editor_00003,d962a286-8a1b-4702-8a36-0ad9ad79802f
editor_00003,134729e0-684f-4b25-912c-6fd0d5855983
editor_00004,f5e7a63d-0c26-4687-a1bf-ff276da20ecc
editor_00005,c4ba8fc8-e8c0-4eb3-bee0-b61f85830814
editor_00005,9359cc6f-3126-4d26-bea4-69f1c93ff19f
editor_00006,bf3876e4-2af1-42f1-b338-768d389a4d98
editor_00007,8e891d7a-cbd2-4600-b9e0-cf90ad61f65d
editor_00008,b2175c39-b9e0-42d5-b8a7-eda75da86b0b
editor_00008,5e1f6444-5d03-48c7-b202-7f47d492aeae
editor_00009,3ea644be-139c-44db-880f-140c4eb1f20c
editor_00009,09b0b51d-d7ec-4963-bdb1-cab388c49830
editor_00010,75587113-e117-43ae-a803-b86d900aa4f1
editor_00010,2ee61499-676f-46c2-afde-d4c0cb4393e6
editor_00010,99eff7d0-fd55-42ff-ad81-900205b0402d
editor_00011,cb12f8d6-4c35-499d-82a1-8436082af123
editor_00012,f528e58c-0e4e-45b0-9456-832847244f0e
editor_00012,afe1e422-be11-407c-b015-42ce93aac874
editor_00013,9b975127-186d-4b72-b03c-7b63988f3aec
editor_00013,793a9fbb-8aa2-4f3f-84c2-c743d1c01276
editor_00013,4cd0212e-27dc-442b-ab8f-7bd47746194f
editor_00014,d30776c0-e524-4f14-a524-871d0586862c
editor_00014,1b9aaae7-9e1e-4dd3-a6df-bface6486e16
editor_00014,6c8289bb-af7a-4fe0-9174-7850c42777a9
editor_00015,e8d08953-c24b-41bf-97e3-72ba5f0c0d70
editor_00015,81fa84a4-ab77-4f7e-b066-25015e0a69a4
editor_00015,8e7acb5a-de93-4923-bb79-4534cc15f8d5
editor_00016,118e3ebe-80fc-4f58-8eb0-11bf8fc96e32
editor_00016,01204f20-b2c8-4ef5-bdd2-5ec3250a5438
editor_00016,fb60ebd3-e39b-462e-8410-3cdc6937a1eb
editor_00017,3ecc7cb1-d258-4cdb-8ce6-e2add9f99e36
editor_00017,788f31b6-c30e-434e-a156-2af67e53e68a
editor_00017,59a1832b-4bac-4b66-a0fc-1c8d201d95aa
editor_00018,bf73462e-700c-40b3-9cbd-f4bb76cac314
editor_00018,aa71f8f9-ef29-4a6e-bcdf-deee71fe49d1
editor_00018,7492b2e0-e6c1-434f-a9b3-a0398f7309a3
editor_00019,48165939-cc41-4379-ac6b-8d870892de13
editor_00019,51756e85-66f2-4980-865e-cef2ac1ecd6a
editor_00019,a7bda061-1edd-4e0f-a1d6-613e32926af0
editor_00020,20a0bd6c-5966-491e-a768-06986b9348f1
editor_00020,e1d85cd4-7d14-4462-bdf1-9a4239fdff4e
editor_00020,bfd86b13-d2a6-4fb4-9d06-bb12b918c5a6
editor_00021,42cd70f7-45f1-4f5a-9723-42d222d6c56e
editor_00022,3c40dc99-e7d4-42f2-9246-efcecf49b6bb
editor_00022,e89b8f81-f9cd-4d2a-ab62-905167b1b2df
editor_00023,357207a3-a4af-4091-822c-75ef52d02fb5
editor_00023,100ffd12-b334-4f02-826b-8ac408e7df49
editor_00023,a478befa-da6d-4dca-af68-420df22ff289
editor_00024,142347a8-a3f6-4ce4-bc56-09bc8fc9461d
editor_00024,10e76a35-58d6-443c-9683-fc16f2dd0a92
editor_00025,47542ac5-c54c-4c4d-8137-0b9acc3c691a
editor_00026,eacd3252-422a-4a32-b7a8-11b606bc693a
editor_00026,94cf7e5d-ed99-4849-b9b9-17ed670f5e6e
editor_00027,3c497f14-18a8-43f7-835c-06272cacfb47
editor_00027,7c7081ff-cde3-49d7-aa8a-8f29ecc4f0a0
editor_00028,f511c64e-b292-49b6-a819-65678fadeebb
editor_00028,cf480bd0-d226-4efa-b73a-7f8782486f73
editor_00029,b3b8f19c-c31b-4847-bc7b-66a18aebedfe
editor_00029,3a6d1444-f0cb-4e36-b3a4-df87a0bfb610
editor_00029,c905e879-44d5-4d23-bfe7-8c25e7d83c08
editor_00030,5d1f91f7-fa6b-4800-b408-445feddb3129
editor_00030,6e5da609-3f49-4a0f-b638-ea4804468293
editor_00030,b482a99f-ef53-4694-aec6-32ad78e0d716
editor_00031,654756cb-fd15-4e15-b2ee-f1639ff9b959
editor_00031,8a489f0c-ab99-4955-9200-11f0005a01f9
editor_00032,948b3e45-27c1-4051-a193-7902b99d5028
editor_00032,ec497fa8-833a-4d68-873a-539c20989c22
editor_00033,dd4e1ddc-2cf4-4384-9544-cc9a88639c1e
editor_00033,faa8ade2-1b14-4f19-8053-b52ecd88fdbd
editor_00034,780e1d38-781d-4e1c-a71c-e29042ed047f
editor_00035,a8009bad-664b-465f-9fc2-8656bc637bc4
editor_00035,1fac6b15-dc25-404e-881c-7a3dc38ab7d1
editor_00035,f1d65bf7-0efb-4099-9607-0904a843a6ec
